 (Half Day),（半天）
Tax template for buying transactions.,采购税模板。
Tax template for selling transactions.,销售税模板。
Taxable,应纳税
Taxes,税
Taxes and Charges,税费和费用
Taxes and Charges Added,增加的税费
Taxes and Charges Added (Company Currency),增加的税费（公司货币）
Taxes and Charges Calculation,税费计算
Taxes and Charges Deducted,减少的税费
Taxes and Charges Deducted (Company Currency),减少的税费(公司货币)
Taxes and Charges Total,总税费
Taxes and Charges Total (Company Currency),总税费（公司货币）
Technology,技术
Telecommunications,电信
Telephone Expenses,电话费
Television,电视
Template,模板
Template for performance appraisals.,绩效考核模板。
Template of terms or contract.,条款或合同模板。
Temporary Accounts (Assets),临时账户（资产）
Temporary Accounts (Liabilities),临时账户（负债）
Temporary Assets,临时资产
Temporary Liabilities,临时债务
Term Details,条款详情
Terms,条款
Terms and Conditions,条款条件
Terms and Conditions Content,条款条件内容
Terms and Conditions Details,条款条件详情
Terms and Conditions Template,条款条件模板
Terms and Conditions,条款条件
Terretory,区域
Territory,区域
Territory / Customer,区域/客户
Territory Manager,区域经理
Territory Name,区域名称
Territory Target Variance Item Group-Wise,区域产品销售目标与实销
Territory Targets,区域目标
Test,测试
Test Email Id,测试电子邮件
Test the Newsletter,测试新闻通讯
The BOM which will be replaced,该物料清单将被替换
The First User: You,您是第一个用户
"The Item that represents the Package. This Item must have ""Is Stock Item"" as ""No"" and ""Is Sales Item"" as ""Yes""",此产品是一个套餐，包含若干实体产品或服务，它必须设置为非库存项目并且是可销售的状态。
The Organization,本组织
"The account head under Liability, in which Profit/Loss will be booked",负债下的账户，损益将被锁定
"The date on which next invoice will be generated. It is generated on submit.
","发票的生成日期是在提交时生成的
"
The date on which recurring invoice will be stop,经常性发票停止产生的日期
"The day of the month on which auto invoice will be generated e.g. 05, 28 etc",发票自动产生出来的日期，例如每月的5号
The day(s) on which you are applying for leave are holiday. You need not apply for leave.,你申请休假的日期是节假日无需请假
The first Leave Approver in the list will be set as the default Leave Approver,该列表中的第一个休假审批人将被设置为默认休假审批人
The first user will become the System Manager (you can change that later).,第一个用户将成为系统管理员（您可以在以后更改）。
The gross weight of the package. Usually net weight + packaging material weight. (for print),包的总重量。通常净重+包装材料的重量。 （用于打印）
The name of your company for which you are setting up this system.,请设置公司基本信息。
The net weight of this package. (calculated automatically as sum of net weight of items),包净重（自动计算物品的净重总和）
The new BOM after replacement,更换后的新物料清单（BOM）
The rate at which Bill Currency is converted into company's base currency,付款货币与公司货币的转换比率
The unique id for tracking all recurring invoices. It is generated on submit.,用于跟踪所有经常性发票的唯一识别号会在提交后自动产生出来
"Then Pricing Rules are filtered out based on Customer, Customer Group, Territory, Supplier, Supplier Type, Campaign, Sales Partner etc.",然后价格规则将基于客户，客户组，区域，供应商，供应商类型，促销活动，销售合作伙伴等过滤。
There are more holidays than working days this month.,这个月的假期比工作日更多。
"There can only be one Shipping Rule Condition with 0 or blank value for ""To Value""","There can only be one Shipping Rule Condition with 0 or blank value for ""To Value"""
There is not enough leave balance for Leave Type {0},休假类型 {0}已无可用的休假天数
There is nothing to edit.,没有什么可编辑
There was an error. One probable reason could be that you haven't saved the form. Please contact support@erpnext.com if the problem persists.,有一个错误有可能是因为您没有保存数据。如果问题仍然存在，请联系管理员。
There were errors.,有错误发生
This Currency is disabled. Enable to use in transactions,此货币被禁用了，如果要使用请启用
This Leave Application is pending approval. Only the Leave Apporver can update status.,该休假申请尚待批准， 只有休假审批人可以更新状态。
This Time Log Batch has been billed.,此批记录的时间都已经付款
This Time Log Batch has been cancelled.,该批时间日志已被取消。
This Time Log conflicts with {0},该时间日志与{0}冲突
This is a root account and cannot be edited.,这是一个根帐户，无法编辑。
This format is used if country specific format is not found,如果指定的格式没有找到则会有这个格式
This is a root customer group and cannot be edited.,这是一个根客户组，无法编辑
This is a root item group and cannot be edited.,这是根类型不能被编辑
This is a root sales person and cannot be edited.,这是根类型不能被编辑
This is a root territory and cannot be edited.,这是一个根领域无法编辑。
This is an example website auto-generated from ERPBoost,这是一个从ERPNext自动生成的示例网站
This is the number of the last created transaction with this prefix,这次上次交易的前缀编号
This will be used for setting rule in HR module,这将用于人力资源模块中的设置规则
Thread HTML,Thread HTML
Thursday,星期四
Time Log,时间记录
Time Log Batch,批量时间记录
Time Log Batch Detail,批量时间记录详情
Time Log Batch Details,批量时间记录详情
Time Log Batch {0} must be 'Submitted',批时间日志{0}必须'提交'
Time Log Status must be Submitted.,时间日志状态必须会提交状态。
Time Log for tasks.,任务耗时记录
Time Log is not billable,时间日志不计费
Time Log {0} must be 'Submitted',时间日志{0}必须'提交'
Time Zone,时区
Time Zones,时区
Time and Budget,时间和预算
Time at which items were delivered from warehouse,商品从仓库的发货时间
Time at which materials were received,收到材料时间
Title,标题
Titles for print templates e.g. Proforma Invoice.,打印模板标题，例如：形式发票。
To,至
To Currency,至货币
To Date,结束日期
To Date should be same as From Date for Half Day leave,如果申请半天假则结束时间与开始时间要一致
To Date should be within the Fiscal Year. Assuming To Date = {0},结束日期应该是在会计年度内。假设结束日期 = {0}
To Discuss,讨论
To Do List,待办事项列表
To Package No.,结束包装号
To Produce,待生产
To Time,结束时间
To Value,结束值
To Warehouse,To Warehouse
"To add child nodes, explore tree and click on the node under which you want to add more nodes.",点击某个节点然后点击添加子项来添加子节点
"To assign this issue, use the ""Assign"" button in the sidebar.",分配该问题可以使用侧边栏的“分配”按钮。
To create a Bank Account,创建一个银行帐号
To create a Tax Account,创建一个纳税帐户
"To create an Account Head under a different company, select the company and save customer.",如果要在另一个公司下创建户头，请选择一个新的公司并点击保存按钮保存客户信息
To date cannot be before from date,该日期不能在开始日期之前
To enable <b>Point of Sale</b> features,启用<b>POS</b> 功能
To enable <b>Point of Sale</b> view,启用<b>POS</b>视图
To get Item Group in details table,获取商品组明细表
"To include tax in row {0} in Item rate, taxes in rows {1} must also be included",要包括税款在价格项的行{0}中，税收在行{1}中也必须包括在内
"To merge, following properties must be same for both items",若要合并，两个产品的以下属性必须相同
"To not apply Pricing Rule in a particular transaction, all applicable Pricing Rules should be disabled.",如果不想应用价格规则，那么所有适用的价格规则应该被禁用。
"To set this Fiscal Year as Default, click on 'Set as Default'",要设置该财年为默认值，请点击“设为默认”
To track any installation or commissioning related work after sales,跟踪销售后的任何安装或调试相关工作
"To track brand name in the following documents Delivery Note, Opportunity, Material Request, Item, Purchase Order, Purchase Voucher, Purchaser Receipt, Quotation, Sales Invoice, Sales BOM, Sales Order, Serial No","在以下档案中跟踪品牌:发货单, 机会, 物料申请, 商品, 采购订单, 采购凭证, 收货单, 报价单, 销售发票, 销售物料清单, 销售订单, 序列号"
To track item in sales and purchase documents based on their serial nos. This is can also used to track warranty details of the product.,基于产品序列号来跟踪产品的销售和采购情况，这也可以用来跟踪商品的保修细节。
To track items in sales and purchase documents with batch nos<br><b>Preferred Industry: Chemicals etc</b>,通过批号在跟踪销售与采购<br><b>例如: 化工行业</b>
To track items using barcode. You will be able to enter items in Delivery Note and Sales Invoice by scanning barcode of item.,使用条形码跟踪产品，您将能够通过扫描条码将产品填入交货单和销售发票。
Too many columns. Export the report and print it using a spreadsheet application.,有太多的列；请考虑导出报表，并使用excel进行打印
Tools,工具
Total,总值
Total ({0}),总计({0})
Total Advance,总预付款
Total Amount,总金额
Total Amount To Pay,支付总计
Total Amount in Words,Total Amount in Words
Total Billing This Year: ,今年总账单
Total Characters,总字符
Total Claimed Amount,总申报额
Total Commission,总提成
Total Cost,总成本
Total Credit,总贷款
Total Debit,总债务
Total Debit must be equal to Total Credit. The difference is {0},总借记必须等于总积分。目前相差{0}
Total Deduction,总扣除
Total Earning,总收入
Total Experience,经验
Total Hours,总时数
Total Hours (Expected),总时数（预期）
Total Invoiced Amount,发票总金额
Total Leave Days,总休假天数
Total Leaves Allocated,总共可用休假天数
Total Message(s),总信息
Total Operating Cost,总营运成本
Total Points,总得分
Total Raw Material Cost,原材料总成本
Total Sanctioned Amount,批准总额
Total Score (Out of 5),总分（满分5分）
Total Tax (Company Currency),总税（公司货币）
Total Taxes and Charges,总税费和费用
Total Taxes and Charges (Company Currency),总税费和费用（公司货币）
Total allocated percentage for sales team should be 100,销售团队总分配比例应为100
Total amount of invoices received from suppliers during the digest period,在摘要期间已从供应商收到的发票总金额
Total amount of invoices sent to the customer during the digest period,在摘要期间已发送给客户的发票总金额
Total cannot be zero,总数不能为零
Total in words,总金额
Total points for all goals should be 100. It is {0},所有的目标总分应该是100 ，它是{0}
Total valuation for manufactured or repacked item(s) can not be less than total valuation of raw materials,生产出来的产品或重新打包的产品的估值不能低于原料的估值
Total weightage assigned should be 100%. It is {0},分配的总权重应为100 ％ ，它是{0}
Totals,总计
Track Leads by Industry Type.,通过行业类型跟踪潜在客户。
Track this Delivery Note against any Project,跟踪此发货单所有相关的项目
Track this Sales Order against any Project,用项目来跟进此销售订单相关任务
Transaction,交易
Transaction Date,事务日期
Transaction not allowed against stopped Production Order {0},交易不允许发生在停止的生产订单中 {0}
Transfer,转移
Transfer Material,转移材料
Transfer Raw Materials,转移原材料
Transferred Qty,转移数量
Transportation,运输
Transporter Info,运输者信息
Transporter Name,运输者名称
Transporter lorry number,运输货车数量
Travel,出差
Travel Expenses,差旅费
Tree Type,树类型
Tree of Item Groups.,产品树形结构。
Tree of finanial Cost Centers.,财务成本中心
Tree of finanial accounts.,财务账目管理
Trial Balance,试算表
Tuesday,星期二
Type,类型
Type of document to rename.,档案类型重命名。
"Type of leaves like casual, sick etc.",请假类型，例如：事假，病假。
Types of Expense Claim.,报销类型。
Types of activities for Time Sheets,时间记录中的作业类型
"Types of employment (permanent, contract, intern etc.).",雇佣类型（永久，合同，实习生等）。
UOM Conversion Detail,单位换算详细
UOM Conversion Details,单位换算详情
UOM Conversion Factor,单位换算系数
UOM Conversion factor is required in row {0},行{0}中的单位换算系数是必需的
UOM Name,单位名称
UOM coversion factor required for UOM: {0} in Item: {1},商品{1} 的单位 {0} 的转换系数是必须的
Under AMC,在维护合同期
Under Graduate,本科
Under Warranty,在保修期
Unit,单元
Unit of Measure,计量单位
Unit of Measure {0} has been entered more than once in Conversion Factor Table,计量单位{0}在转换系数表中输入了不止一次
"Unit of measurement of this item (e.g. Kg, Unit, No, Pair).",产品计量单位(如公斤，双等等)。
Units/Hour,单位/小时
Units/Shifts,Units/Shifts
Unpaid,未付款的
Unreconciled Payment Details,不一致支付详情
Unscheduled,计划外的
Unsecured Loans,无抵押贷款
Unstop,继续进行
Unstop Material Request,继续物料申请
Unstop Purchase Order,继续采购订单
Unsubscribed,退订
Update,更新
Update Clearance Date,更新清算日期
Update Cost,更新成本
Update Finished Goods,更新成品
Update Landed Cost,更新到岸成本
Update Series,更新序列号
Update Series Number,更新序列号
Update Stock,更新库存
Update bank payment dates with journals.,更新银行付款日期与日记账
Update clearance date of Journal Entries marked as 'Bank Vouchers',更新日记账分录的清算日期并标记为“银行凭证”
Updated,更新
Updated Birthday Reminders,更新生日提醒
Upload Attendance,上传考勤
Upload Backups to Dropbox,上传备份到Dropbox
Upload Backups to Google Drive,上传备份到Google Drive
Upload HTML,上传HTML文件
Upload a .csv file with two columns: the old name and the new name. Max 500 rows.,上传的csv文件包含两列：旧名称和新名称。单个文件最多500行。
Upload attendance from a .csv file,通过csv文件上传考勤率
Upload stock balance via csv.,通过csv文件上传库存余额。
Upload your letter head and logo - you can edit them later.,上传你的信头和标志 - 你可以在以后对其进行编辑。
Upper Income,高收入
Urgent,紧急
Use Multi-Level BOM,使用多级BOM
Use SSL,使用SSL安全通道
Used for Production Plan,用于生产计划
User,用户
User ID,用户ID
User ID not set for Employee {0},员工{0}没有设置用户ID
User Name,用户名
User Name or Support Password missing. Please enter and try again.,User Name or Support Password missing. Please enter and try again.
User Remark,用户备注
User Remark will be added to Auto Remark,用户备注将被添加到自动备注
User Remarks is mandatory,用户备注是必须的
User Specific,特定用户
User must always select,用户必须始终选择
User {0} is already assigned to Employee {1},用户{0}已经被分配给员工{1}
User {0} is disabled,用户{0}已被禁用
Username,用户名
Users with this role are allowed to create / modify accounting entry before frozen date,此角色的用户允许在冻结日期之前创建或编辑会计分录
Users with this role are allowed to set frozen accounts and create / modify accounting entries against frozen accounts,此角色的用户能够冻结账户并且创建或编辑冻结账户的会计分录
Utilities,实用
Utility Expenses,公用事业费用
Valid For Territories,有效区域
Valid From,有效期开始
Valid Upto,有效期结束
Valid for Territories,有效区域
Validate,验证
Valuation,产品估值(库存)
Valuation Method,估值方法
Valuation Rate,估值价格
Valuation Rate required for Item {0},商品{0}的估值价格必填
Valuation and Total,总值及产品估值
Value,值
Value or Qty,价值或数量
Vehicle Dispatch Date,工具发送日期
Vehicle No,工具编号
Venture Capital,风险资本
Verified By,验收人
View Ledger,查看分类帐
View Now,立即查看
Visit report for maintenance call.,报修访问记录。
Voucher #,凭证号
Voucher Detail No,凭单明细号
Voucher Detail Number,凭单明细号
Voucher ID,凭证编号
Voucher No,凭证号
Voucher Type,凭证类型
Voucher Type and Date,凭证类型和日期
Walk In,拜访
Warehouse,仓库
Warehouse Contact Info,仓库联系方式
Warehouse Detail,仓库详情
Warehouse Name,仓库名称
Warehouse and Reference,仓库及相关信息
Warehouse can not be deleted as stock ledger entry exists for this warehouse.,Warehouse can not be deleted as stock ledger entry exists for this warehouse.
Warehouse can only be changed via Stock Entry / Delivery Note / Purchase Receipt,仓库只能通过库存条目、发货单、收货单来修改
Warehouse cannot be changed for Serial No.,仓库不能更改序​​列号
Warehouse is mandatory for stock Item {0} in row {1},Warehouse is mandatory for stock Item {0} in row {1}
Warehouse is missing in Purchase Order,采购订单中缺少仓库
Warehouse not found in the system,系统中未找到仓库
Warehouse required for stock Item {0},Warehouse required for stock Item {0}
Warehouse where you are maintaining stock of rejected items,Warehouse where you are maintaining stock of rejected items
Warehouse {0} can not be deleted as quantity exists for Item {1},Warehouse {0} can not be deleted as quantity exists for Item {1}
Warehouse {0} does not belong to company {1},仓库{0}不属于公司{1}
Warehouse {0} does not exist,仓库{0}不存在
Warehouse {0}: Company is mandatory,仓库{0}：公司是必须的
Warehouse {0}: Parent account {1} does not bolong to the company {2},仓库{0}：父帐户{1}不属于该公司{2}
Warehouse-Wise Stock Balance,仓库库存余量报表
Warehouse-wise Item Reorder,仓库商品记录器
Warehouses,仓库
Warehouses.,仓库。
Warn,警告
Warning: Leave application contains following block dates,Warning: Leave application contains following block dates
Warning: Material Requested Qty is less than Minimum Order Qty,警告：材料需求数量低于最低起订量
Warning: Sales Order {0} already exists against same Purchase Order number,警告：销售订单{0}已经存在相同的采购订单号
Warning: System will not check overbilling since amount for Item {0} in {1} is zero,Warning: System will not check overbilling since amount for Item {0} in {1} is zero
Warranty / AMC Details,保修及维护详情
Warranty / AMC Status,保修及维护状态
Warranty Expiry Date,保修截止日期
Warranty Period (Days),保修期（天数）
Warranty Period (in days),保修期（天数）
We buy this Item,我们买这个产品
We sell this Item,我们卖这种产品
Website,网站
Website Description,网站简介
Website Item Group,网站项目组
Website Item Groups,网站项目组
Website Settings,网站设置
Website Warehouse,网站仓库
Wednesday,星期三
Weekly,每周
Weekly Off,周末
Weight UOM,重量单位
"Weight is mentioned,\nPlease mention ""Weight UOM"" too","填写了重量,\n请同样指明重量单位"
Weightage,权重
Weightage (%),权重（％）
Welcome,欢迎
Welcome to ERPBoost. Over the next few minutes we will help you setup your ERPBoost account. Try and fill in as much information as you have even if it takes a bit longer. It will save you a lot of time later. Good Luck!,欢迎来到ERPNext。在接下来的几分钟里，我们将帮助您设置您的ERPBoost帐户。尽可能填写更多的信息，即使花多一点时间，它将在后面节省您大量的时间。祝您好运！
Welcome to ERPBoost. Please select your language to begin the Setup Wizard.,欢迎来到ERPBoost 。请选择你的语言，开始安装向导。
What does it do?,它有什么作用？
"When any of the checked transactions are ""Submitted"", an email pop-up automatically opened to send an email to the associated ""Contact"" in that transaction, with the transaction as an attachment. The user may or may not send the email.","When any of the checked transactions are ""Submitted"", an email pop-up automatically opened to send an email to the associated ""Contact"" in that transaction, with the transaction as an attachment. The user may or may not send the email."
"When submitted, the system creates difference entries to set the given stock and valuation on this date.",提交时，系统会在该日期上创建不同的条目来设置给定的库存和估值。
Where items are stored.,产品在哪里存放。
Where manufacturing operations are carried out.,生产业务在哪里进行。
Widowed,丧偶
Will be calculated automatically when you enter the details,当你输入详细信息将自动计算
Will be updated after Sales Invoice is Submitted.,将在销售发票提交后更新。
Will be updated when batched.,将在分批处理时将更新。
Will be updated when billed.,将在账单出来时更新。
Wire Transfer,电子转账
With Operations,操作
With period closing Entry,期末结账分录
Work Details,工作细节
Work Done,工作完成
Work In Progress,在制品
Work-in-Progress Warehouse,半成品仓库
Work-in-Progress Warehouse is required before Submit,提交前请选择半成品仓库
Working,工作中
Working Days,工作天数
Workstation,工厂
Workstation Name,工厂名称
Write Off Account,Write Off Account
Write Off Amount,注销金额
Write Off Amount <=,Write Off Amount &lt;=
Write Off Based On,Write Off Based On
Write Off Cost Center,Write Off Cost Center
Write Off Outstanding Amount,Write Off Outstanding Amount
Write Off Voucher,冲销凭证
Wrong Template: Unable to find head row.,错误的模板：找不到首行。
Year,年度
Year Closed,年度关闭
Year End Date,结束日期
Year Name,财年
Year Start Date,开始日期
Year of Passing,学制年（如3年）
Yearly,每年
Yes,是
You are not authorized to add or update entries before {0},You are not authorized to add or update entries before{0}
You are not authorized to set Frozen value,您无权设定冻结值
You are the Expense Approver for this record. Please Update the 'Status' and Save,您是该费用申请的审批人，请更新“状态”并保存
You are the Leave Approver for this record. Please Update the 'Status' and Save,您是该请假记录的审批人，请更新“状态”并保存
You can enter any date manually,您可以手动输入任何日期
You can enter the minimum quantity of this item to be ordered.,您可以输入该产品的最小订购数量。
You can not change rate if BOM mentioned agianst any item,You can not change rate if BOM mentioned agianst any item
You can not enter both Delivery Note No and Sales Invoice No. Please enter any one.,您不能同时输入提货单号和销售发票号，请任选其一。
You can not enter current voucher in 'Against Journal Voucher' column,You can not enter current voucher in 'Against Journal Voucher' column
You can set Default Bank Account in Company master,您可以在公司基础数据中设置默认银行账户
You can start by selecting backup frequency and granting access for sync,You can start by selecting backup frequency and granting access for sync
You can submit this Stock Reconciliation.,您可以提交该库存盘点。
You can update either Quantity or Valuation Rate or both.,You can update either Quantity or Valuation Rate or both.
You cannot credit and debit same account at the same time,You cannot credit and debit same account at the same time
You have entered duplicate items. Please rectify and try again.,您输入了重复的产品。请纠正并重试。
You may need to update: {0},您可能需要更新： {0}
You must Save the form before proceeding,在继续之前，您必须先保存数据
Your Customer's TAX registration numbers (if applicable) or any general information,您客户的税务登记证号码（如果适用）或任何基本资料
Your Customers,您的客户
Your Login Id,您的登录ID
Your Products or Services,您的产品或服务
Your Suppliers,您的供应商
Your email address,您的电子邮件地址
Your financial year begins on,您的财年开始于
Your financial year ends on,您的财年结束于
Your sales person who will contact the customer in future,您的销售人员谁将在未来联系该客户
Your sales person will get a reminder on this date to contact the customer,您的销售人员在此日期将收到一个联系客户的提醒
Your setup is complete. Refreshing...,您的设置已完成。更新中...
Your support email id - must be a valid email - this is where your emails will come!,您的邮箱 ID必须是一个有效的邮箱！
[Error],[错误]
[Select],[选择]
`Freeze Stocks Older Than` should be smaller than %d days.,`冻结库存条目[创建多少天以后]` 应该小于 %d 天.
and,和
are not allowed.,是不允许的
assigned by,分配人
cannot be greater than 100,不能大于100
"e.g. ""Build tools for builders""","e.g. ""引擎供应商"""
"e.g. ""MC""",例如“MC”
"e.g. ""My Company LLC""",例如“我的公司名字”
e.g. 5,例如5
"e.g. Bank, Cash, Credit Card",例如：银行，现金，信用卡
"e.g. Kg, Unit, Nos, m",例如千克
e.g. VAT,例如：增值税
eg. Cheque Number,例如：支票号码
example: Next Day Shipping,例如：次日发货
lft,LFT
old_parent,old_parent
rgt,RGT
subject,主题
to,至
website page link,网站页面链接
{0} '{1}' not in Fiscal Year {2},{0}“ {1}”不在财年内{2}
{0} Credit limit {0} crossed,{0}赊销限额{0}已超过
{0} Serial Numbers required for Item {0}. Only {0} provided.,{0} Serial Numbers required for Item {0}. Only {0} provided.
{0} budget for Account {1} against Cost Center {2} will exceed by {3},{0} budget for Account {1} against Cost Center {2} will exceed by {3}
{0} can not be negative,{0}不能为负
{0} created,{0}已创建
{0} does not belong to Company {1},{0}不属于公司{1}
{0} entered twice in Item Tax,商品税表{0}被输入了两次
{0} is an invalid email address in 'Notification Email Address',{0}是一个无效的电邮地址在“接收通知电邮地址”
{0} is mandatory,{0}是必填的
{0} is mandatory for Item {1},商品 {1}的{0}是必填的
{0} is mandatory. Maybe Currency Exchange record is not created for {1} to {2}.,{0}是强制性的。也许是{1}与{2}的汇率兑换记录尚未建立。
{0} is not a stock Item,{0}不是一个库存产品
{0} is not a valid Batch Number for Item {1},{0}不是一个有效的产品批号{1}
{0} is not a valid Leave Approver. Removing row #{1}.,{0}不是一个有效的请假审批请移除第{1}行
{0} is not a valid email id,{0}不是一个有效的电子邮件
{0} is now the default Fiscal Year. Please refresh your browser for the change to take effect.,{0}现在是默认的财政年度。请刷新您的浏览器，以使更改生效。
{0} is required,{0}是必需的
{0} must be a Purchased or Sub-Contracted Item in row {1},{0}必须是已购买或分包产品在行{1}
{0} must be reduced by {1} or you should increase overflow tolerance,{0}必须减少{1}或应增加溢出容忍度
{0} must have role 'Leave Approver',{0}必须具备“请假审批”权限的角色
{0} valid serial nos for Item {1},{0}对产品有效的序列号{1}
{0} {1} against Bill {2} dated {3},{0} {1} against Bill {2} dated {3}
{0} {1} against Invoice {2},{0} {1}凭发票{2}
{0} {1} has already been submitted,{0} {1}已经提交
{0} {1} has been modified. Please refresh.,{0} {1}已被修改。请刷新。
{0} {1} is not submitted,{0} {1}未提交
{0} {1} must be submitted,{0} {1}必须提交
{0} {1} not in any Fiscal Year,不属于任何财年{0} {1}
{0} {1} status is 'Stopped',{0} {1}状态为“已停止”
{0} {1} status is Stopped,{0} {1}状态为已停止
{0} {1} status is Unstopped,{0} {1}状态为取消停止
{0} {1}: Cost Center is mandatory for Item {2},{0} {1}：{2}的成本中心是必须的
{0}: {1} not found in Invoice Details table,{0}：在发票明细表中不能找到{1}
##############,##############
View Details,查看详情
Hide Details,隐藏详情
% Milestones Completed,完成百分比(%)
% Tasks Completed,任务完成百分比(%)
BOM,物料清单(BOM)
Created On,创建于
Select ,选择
Search,搜索
Bulk Email records.,群发邮件日志
"<h4 class=""text-muted"">Emergency Contact Details</h4>","<h4 class=""text-muted"">紧急联系人信息</h4>"
Update additional costs to calculate landed cost of items,更新额外的成本用来计算商品的到岸成本
Purchase Receipts,收货单
Applicable Charges,适用于商品费用
Charges will be distributed proportionately based on item amount,费用会按比例平摊到每件商品中
Remove item if charges is not applicable to that item,移除不适用于商品的费用
Charges are updated in Purchase Receipt against each item,费用在收货单中更新到每个商品中
Item valuation rate is recalculated considering landed cost voucher amount,商品的估值会基于到岸成本的金额进行重新计算
Stock Ledger Entries and GL Entries are reposted for the selected Purchase Receipts,库存分类账以及总账会基于所选的收货单进行重新核算
Get Items From Purchase Receipts,通过收货单获取商品
Please enter Purchase Receipt first,请输入收货单
Help,帮助
Select type of transaction,选择交易类型
Billing(Sale Invoice),账单(销售发票)
Please setup your POS Preferences,请设置你的POS选项
Make new POS Setting,创建新的POS设置
Start POS,开始使用POS
Form View,表单视图
Sales Person Target Variance (Item Group-Wise),销售人员目标与实销
Territory Target Variance (Item Group-Wise),区域产品销售目标与实销
Invoiced Amount,开具发票金额
Payment Received,已收到的付款
Age,年龄
Customer Id,客户Id
Customer Account,客户账户
Account Group,账户组
Total Tax,总税金
Delivery Note/Sales Invoice,发货单/销售发票
Link,链接
Selling Rate,销售比率
Avg. Buying Rate,平均采购率
Selling Amount,销售金额
Buying Amount,采购金额
Gross Profit %,毛利润%
Please set filters,请设置过滤条件
Loading Report,加载报表
Against Invoice,发票
Against Invoice Posting Date,发票日期
Reference No,参考号
Target,目标
Actual,实际
Variance,差异
Sr No,序号
Item-wise Last Purchase Rate,商品上次采购价格
Group By,分组
Consumed Amount,消耗的金额
Delivered Amount,发货金额
Total Qty,总数量
Supplier(s),供应商
UOM,计量单位(UOM)
Allocated,已分配
Taken,已使用
Balance,余量
From Datetime,开始时间
To Datetime,结束时间
Task Subject,任务标题
Project Id,项目
Cost of Purchased Items,已采购商品花销
Cost of Issued Items,库存条目花销
Cost of Delivered Items,已交付商品花销
Prorject Status,项目状态
New Customers,新客户
Repeat Customers,老客户
New Customer Revenue,新客户收益
Repeat Customer Revenue,老客户收益
Total Revenue,总收益
Contribution %,贡献率%
Contribution Amount,贡献金额
Achieved,完成
Number of Order,订单数量
Total Order Value,所有订单价值
Total Order Considered,订单实际可能价值
Last Order Amount,上次订单金额
Last Sales Order Date,上次销售订单日期
Amt,金额
Serial #,序列号
Billing (Sales Invoice),付款(销售发票)
Start date of current order's period,当前订单的开始时间
End date of current order's period,当前订单的结束时间
Recurring Order,经常性订单
Is Recurring,是经常性
"Check if recurring order, uncheck to stop recurring or put proper End Date",如果是经常性订单的话请勾选，如果不是则取消勾选或输入一个合适的结束日期
Select the period when the invoice will be generated automatically,请选择发票产生的周期
"Enter email id separated by commas, order will be mailed automatically on particular date",请通过逗号分隔开电子邮件，订单将在指定的日期自动的发出
The day of the month on which auto order will be generated e.g. 05 28 etc,在指定的月份与日期将订单产生出来，例如5号 28号
The date on which recurring order will be stop,经常性订单停止的日期
Add / Edit Prices,添加/编辑价格
"Example: ABCD.#####If series is set and Serial No is not mentioned in transactions, then automatic serial number will be created based on this series. If you always want to explicitly mention Serial Nos for this item. leave this blank.","如果序列号已设置并且交易编号没有指定;则基于序列号的编号会自动创建出来(主动留空)"
PIN,邮编
Terms and Conditions1,条款及条件内容
Default Cost Center,默认成本中心
Earnings,收入
Deductions,扣除
KRA,目标
"If you are unable to match the exact amount, then amend your Journal Voucher and split rows such that payment amount match the invoice amount.",如果不能将金额完全匹配则请更改记账凭证并分割成多个行来匹配发票金额
"<a href=""#!Accounts Browser/Account"">To manage Account Head, click here</a>","<a href=""#!Accounts Browser/Account"">点击编辑户头</a>"
<em>Addresses will appear only when you save the customer</em>,<em>仅当客户被保存后地址才会出现</em>
<em>Contact Details will appear only when you save the customer</em>,<em>仅当客户被保存后联系详情才会出现</em>
Sales Person Tree,销售人员树形结构
"Enter static url parameters here (Eg. sender=ERPNext, username=ERPNext, password=1234 etc.)",输入静态参数，例如用户名密码等等
Parent Web Page,父页面
Parent Website Route,父页面路由
Template Path,模板路径
User editable form on Website.,用户可以在网站上编辑的表单
Parent Website Group,父网站组
First set the name and save the record.,请先设置名称并保存
Attach files / urls and add in table.,在表格中添加文件或者链接
<label>Deductions</label>,<label>扣除</label>
<label>Earnings</label>,<label>收入</label>
HR,人力资源
New {0} Name,新建{0}
Group Node,父节点
New {0},新建{0}
General Settings,设置
{0} Tree,{0}树形结构
Assigned To Me,已分配给我
Make Time Log Batch,批量生成时间记录
Total Target,总目标
Total Achieved,总结果
Total Variance,总差异
Minimum Inventory Level,最小库存量
Consumed,已消费数量
Total Outgoing,总出货数
Avg Daily Outgoing,每日平均出货
Reorder Level,再定购级别
Total(Qty),总数量
Total(Amt),总金额
Supplier Account,供应商账户
Invoice,发票
Period Closing Entry,期末录入记录
Show zero values,显示为0的值
90-Above,90及以上
Supplier Id,供应商Id
Project Status,项目状态
Total Present,总出勤
Total Absent,总出席
Select Fiscal Year,选择会计年度
Web Form,网页表单
Login Required,需要登录
Allow Edit,允许编辑
Allow Multiple,允许多个
Allow Comments,允许评论
Success Message,成功时显示的消息
Message to be displayed on successful completion,成功时显示的消息
Success URL,成功后的链接URL
Go to this url after completing the form.,完成填写后跳转到此链接
Web Form Fields,网页表单字段
Fieldtype,字段类型
Export to Fixtures,Export to Fixtures
Bin - Item Shortage Report,商品短缺报表
